method,timeout,depth,train_data,test_data,complexity_penalty,time,train_r2,test_r2,leaves,terminal_calls
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,9,enb-heat,enb-heat,0.1,0.056883,0.791086551,0.791086551,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,9,optical,optical,0.001,1001,-1,-1,-1,-1
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,9,optical,optical,0.01,8.14403,0.987754836,0.987754836,4,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,9,optical,optical,0.1,0.441633,0.959097293,0.959097293,3,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,9,real-estate,real-estate,0.1,42.5656,0.49297523,0.49297523,2,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,9,servo,servo,0.0001,67.1609,0.997878667,0.997878667,49,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,9,servo,servo,0.001,61.8354,0.987769535,0.987769535,20,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,9,servo,servo,0.01,148.402,0.948951217,0.948951217,9,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,9,servo,servo,0.1,0.19703,0.694627348,0.694627348,3,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,9,sync,sync,0.0001,1001,-1,-1,-1,-1
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,9,sync,sync,0.001,1001,-1,-1,-1,-1
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,9,sync,sync,0.01,155.686,0.964080445,0.964080445,6,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,9,sync,sync,0.1,0.035061,0.873866241,0.873866241,3,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,1000,9,yacht,yacht,0.1,1.43186,0.911807465,0.911807465,3,0
streed_pwc_kmeans1_tasklb1_lb1_terminal1,1000,9,airfoil,airfoil,0.0001,1001,-1,-1,-1,-1
streed_pwc_kmeans1_tasklb1_lb1_terminal1,1000,9,airfoil,airfoil,0.001,1001,-1,-1,-1,-1
streed_pwc_kmeans1_tasklb1_lb1_terminal1,1000,9,airfoil,airfoil,0.01,672.758,0.684146599,0.684146599,17,8472227
