method,depth,train_data,complexity_penalty,timeout,test_data,time,train_r2,test_r2,leaves,terminal_calls
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,servo,0.0001,1000,servo,0.301333,0.987525457292768,0.987525457292768,30,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,servo,0.001,1000,servo,0.506169,0.9833644009656676,0.9833644009656676,18,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,servo,0.01,1000,servo,0.803445,0.9577634955026856,0.957763495502686,10,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,servo,0.1,1000,servo,0.193509,0.6946273475190754,0.6946273475190754,3,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,sync,0.0001,1000,sync,1.17533,0.9900233496082153,0.9900233496082318,22,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,sync,0.001,1000,sync,2.08288,0.9872909468744084,0.987290946874406,11,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,sync,0.01,1000,sync,2.80573,0.9640804453564344,0.9640804453564124,6,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,sync,0.1,1000,sync,0.031665,0.8738662414823013,0.8738662414822637,3,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,yacht,0.0001,1000,yacht,6.04185,0.9984839130988648,0.9984839130988644,27,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,yacht,0.001,1000,yacht,7.08101,0.9934525322526804,0.9934525322526804,10,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,yacht,0.01,1000,yacht,8.81645,0.9771400833838018,0.977140083383802,5,0
streed_pwc_kmeans1_tasklb1_lb1_terminal0,5,yacht,0.1,1000,yacht,1.33582,0.911807464721562,0.911807464721562,3,0
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,airfoil,0.0001,1000,airfoil,0.938028,0.7473173808614813,0.7473173808616638,32,9434
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,airfoil,0.001,1000,airfoil,0.879945,0.7473173808614813,0.7473173808616638,32,10158
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,airfoil,0.01,1000,airfoil,1.00321,0.6599534178192845,0.6599534178191802,15,11506
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,airfoil,0.1,1000,airfoil,0.592235,0.3530631207815587,0.3530631207810571,3,3899
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,auction,0.0001,1000,auction,0.812862,0.9727909721772908,0.9727909721772912,20,2537
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,auction,0.001,1000,auction,0.787061,0.9714261356928564,0.9714261356928569,16,2357
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,auction,0.01,1000,auction,0.750176,0.9302231093184626,0.930223109318461,8,2687
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,auction,0.1,1000,auction,0.107749,0.8541215351512084,0.8541215351512066,4,281
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,auto_mpg,0.0001,1000,auto_mpg,1.03612,0.9307567689871732,0.9307567689871734,32,17008
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,auto_mpg,0.001,1000,auto_mpg,1.47524,0.9300057341141073,0.930005734114107,31,19878
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,auto_mpg,0.01,1000,auto_mpg,1.11334,0.8386312970860546,0.8386312970860544,7,18948
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,auto_mpg,0.1,1000,auto_mpg,0.427627,0.6909387762311822,0.69093877623118,3,3578
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,enb-cool,0.0001,1000,enb-cool,1.78646,0.9756047582634936,0.9756047582634932,32,13612
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,enb-cool,0.001,1000,enb-cool,1.83681,0.9697841077440592,0.969784107744058,24,18176
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,enb-cool,0.01,1000,enb-cool,1.39684,0.8966260727439687,0.8966260727439779,4,11012
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,enb-cool,0.1,1000,enb-cool,0.016859,0.8024310688076812,0.8024310688076921,2,23
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,enb-heat,0.0001,1000,enb-heat,1.27515,0.9968431049384696,0.996843104938469,32,4215
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,enb-heat,0.001,1000,enb-heat,1.68429,0.9936311125640402,0.9936311125640392,24,11281
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,enb-heat,0.01,1000,enb-heat,1.40939,0.9347720831215964,0.9347720831216006,6,9565
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,enb-heat,0.1,1000,enb-heat,0.016873,0.7910865510662002,0.791086551066186,2,31
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,optical,0.0001,1000,optical,0.648226,0.9999948376753924,0.9999948376753924,10,2819
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,optical,0.001,1000,optical,0.827487,0.9986471340156254,0.9986471340156254,7,4514
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,optical,0.01,1000,optical,0.652985,0.9877548356075356,0.9877548356075356,4,3135
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,optical,0.1,1000,optical,0.015869,0.9590972926078478,0.959097292607848,3,128
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,real-estate,0.0001,1000,real-estate,2.73906,0.8779371786785938,0.8779371786785942,32,38717
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,real-estate,0.001,1000,real-estate,2.70313,0.8779371786785938,0.8779371786785942,32,42366
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,real-estate,0.01,1000,real-estate,3.10008,0.7717510021616741,0.7717510021616764,10,43653
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,real-estate,0.1,1000,real-estate,1.31191,0.4929752304735941,0.4929752304735973,2,10542
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,seoul-bike,0.0001,1000,seoul-bike,54.4318,0.7517882076350622,0.7517882076350622,28,62305
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,seoul-bike,0.001,1000,seoul-bike,50.9327,0.7510206397450903,0.7510206397450903,27,65387
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,seoul-bike,0.01,1000,seoul-bike,51.4252,0.7136625383432623,0.7136625383432623,9,55802
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,seoul-bike,0.1,1000,seoul-bike,49.7687,0.4093946528919427,0.4093946528919427,3,29897
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,servo,0.0001,1000,servo,0.044384,0.987525457292768,0.987525457292768,30,738
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,servo,0.001,1000,servo,0.041893,0.9833644009656676,0.9833644009656676,18,894
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,servo,0.01,1000,servo,0.038177,0.9577634955026856,0.957763495502686,10,722
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,servo,0.1,1000,servo,0.02855,0.6946273475190754,0.6946273475190754,3,610
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,sync,0.0001,1000,sync,0.300838,0.990023349608214,0.9900233496082296,22,5892
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,sync,0.001,1000,sync,0.251361,0.9872909468744068,0.9872909468744046,11,6009
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,sync,0.01,1000,sync,0.194009,0.9640804453564376,0.9640804453564156,6,4626
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,sync,0.1,1000,sync,0.010585,0.873866241482295,0.8738662414822573,3,159
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,yacht,0.0001,1000,yacht,0.790433,0.9984839130988648,0.9984839130988644,27,7756
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,yacht,0.001,1000,yacht,0.917562,0.9934525322526802,0.9934525322526804,10,10108
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,yacht,0.01,1000,yacht,1.02975,0.9771400833838016,0.977140083383802,5,12366
streed_pwc_kmeans1_tasklb1_lb1_terminal1,5,yacht,0.1,1000,yacht,0.143417,0.911807464721562,0.911807464721562,3,1853
streed_pwl,5,airfoil,0.0001,1000,airfoil,71.2767,0.9262221520017592,0.9262221520017592,22,0
streed_pwl,5,airfoil,0.001,1000,airfoil,61.2588,0.9236567899817824,0.9236567899817824,18,0
streed_pwl,5,airfoil,0.01,1000,airfoil,36.3164,0.8987583675905965,0.8987583675905965,11,0
streed_pwl,5,airfoil,0.1,1000,airfoil,3.78704,0.6603118803972834,0.6603118803972834,2,0
streed_pwl,5,auction,0.0001,1000,auction,95.6464,0.9697702588084413,0.9697702588084413,12,0
streed_pwl,5,auction,0.001,1000,auction,70.6103,0.968566289469976,0.968566289469976,9,0
streed_pwl,5,auction,0.01,1000,auction,54.5984,0.9574908979290444,0.9574908979290444,6,0
streed_pwl,5,auction,0.1,1000,auction,0.838702,0.8968614416488441,0.8968614416488441,3,0
streed_pwl,5,auto_mpg,0.0001,1000,auto_mpg,0.09154,0.9060084083170092,0.9060084083170092,5,0
streed_pwl,5,auto_mpg,0.001,1000,auto_mpg,0.087731,0.9060084083170092,0.9060084083170092,5,0
streed_pwl,5,auto_mpg,0.01,1000,auto_mpg,0.074854,0.9041320368375056,0.9041320368375056,4,0
streed_pwl,5,auto_mpg,0.1,1000,auto_mpg,0.001677,0.8214780181224833,0.8214780181224833,1,0
streed_pwl,5,enb-cool,0.0001,1000,enb-cool,529.573,0.9778698743653976,0.9778698743653976,8,0
streed_pwl,5,enb-cool,0.001,1000,enb-cool,501.639,0.976948005490534,0.976948005490534,6,0
streed_pwl,5,enb-cool,0.01,1000,enb-cool,1001.0,-1.0,-1.0,-1,-1
streed_pwl,5,enb-cool,0.1,1000,enb-cool,0.616436,0.8877452464056113,0.8877452464056113,1,0
streed_pwl,5,enb-heat,0.0001,1000,enb-heat,1001.0,-1.0,-1.0,-1,-1
streed_pwl,5,enb-heat,0.001,1000,enb-heat,929.503,0.9948808421328988,0.9948808421328988,6,0
