algorithm,cost_complexity,dataset,depth,leaves,terminal_calls,time,timeout,train_mse
osrt,0.01,airfoil.csv,9,-1,-1,101,100,-1
osrt,0.01,airfoil.csv,9,-1,-1,101,100,-1
osrt,0.01,airfoil.csv,9,15,0,80.075,100,29.309578663771443
osrt,0.1,airfoil.csv,9,,,,100,
osrt,0.1,airfoil.csv,9,,,,100,
osrt,0.1,airfoil.csv,9,,,,100,
osrt,0.0001,airquality.csv,10,-1,-1,101,100,-1
osrt,0.0001,airquality.csv,10,-1,-1,101,100,-1
osrt,0.0001,airquality.csv,10,-1,-1,101,100,-1
osrt,0.001,airquality.csv,10,-1,-1,101,100,-1
osrt,0.001,airquality.csv,10,-1,-1,101,100,-1
osrt,0.001,airquality.csv,10,-1,-1,101,100,-1
osrt,0.005,airquality.csv,10,-1,-1,101,100,-1
osrt,0.005,airquality.csv,10,-1,-1,101,100,-1
osrt,0.005,airquality.csv,10,-1,-1,101,100,-1
osrt,0.01,airquality.csv,10,-1,-1,101,100,-1
osrt,0.01,airquality.csv,10,-1,-1,101,100,-1
osrt,0.01,airquality.csv,10,-1,-1,101,100,-1
osrt,0.1,airquality.csv,10,3,0,0.115,100,471.5254078200126
osrt,0.1,airquality.csv,10,3,0,0.325,100,471.5254078200126
osrt,0.1,airquality.csv,10,3,0,0.075,100,471.5254078200126
osrt,0.0001,airquality.csv,3,8,0,0.086,100,254.2560255146697
osrt,0.0001,airquality.csv,3,8,0,0.115,100,254.2560255146697
osrt,0.0001,airquality.csv,3,8,0,0.123,100,254.2560255146697
osrt,0.001,airquality.csv,3,8,0,0.102,100,254.2560255146697
osrt,0.001,airquality.csv,3,8,0,0.123,100,254.2560255146697
osrt,0.001,airquality.csv,3,8,0,0.072,100,254.2560255146697
osrt,0.005,airquality.csv,3,7,0,0.084,100,256.3771516397052
osrt,0.005,airquality.csv,3,7,0,0.467,100,256.3771516397052
osrt,0.005,airquality.csv,3,7,0,0.061,100,256.3771516397052
osrt,0.01,airquality.csv,3,6,0,0.579,100,262.6601480844363
osrt,0.01,airquality.csv,3,6,0,0.111,100,262.6601480844363
osrt,0.01,airquality.csv,3,6,0,0.082,100,262.6601480844363
osrt,0.1,airquality.csv,3,3,0,0.174,100,471.5254078200126
osrt,0.1,airquality.csv,3,3,0,0.162,100,471.5254078200126
osrt,0.1,airquality.csv,3,3,0,0.127,100,471.5254078200126
osrt,0.0001,airquality.csv,4,16,0,0.714,100,164.02169034606032
osrt,0.0001,airquality.csv,4,16,0,0.743,100,164.02169034606032
osrt,0.0001,airquality.csv,4,16,0,0.712,100,164.02169034606032
osrt,0.001,airquality.csv,4,16,0,0.771,100,164.02169034606032
